id,表章項目,男女_時系列,地域_時系列,時間軸(調査年),unit,value
616,人口,総数,和歌山県,1950年,人,982113
617,人口,総数,和歌山県,1955年,人,1006819
618,人口,総数,和歌山県,1960年,人,1002191
619,人口,総数,和歌山県,1965年,人,1026975
620,人口,総数,和歌山県,1970年,人,1042736
621,人口,総数,和歌山県,1975年,人,1072118
622,人口,総数,和歌山県,1980年,人,1087012
623,人口,総数,和歌山県,1985年,人,1087206
624,人口,総数,和歌山県,1990年,人,1074325
625,人口,総数,和歌山県,1995年,人,1080435
626,人口,総数,和歌山県,2000年,人,1069912
627,人口,総数,和歌山県,2005年,人,1035969
628,人口,総数,和歌山県,2010年,人,1002198
629,人口,総数,和歌山県,2015年,人,963579
630,人口,総数,和歌山県,2020年,人,922584
631,人口,総数,鳥取県,1920年,人,454675
632,人口,総数,鳥取県,1925年,人,472230
633,人口,総数,鳥取県,1930年,人,489266
634,人口,総数,鳥取県,1935年,人,490461
635,人口,総数,鳥取県,1940年,人,484390
636,人口,総数,鳥取県,1945年,人,563220
637,人口,総数,鳥取県,1950年,人,600177
638,人口,総数,鳥取県,1955年,人,614259
639,人口,総数,鳥取県,1960年,人,599135
640,人口,総数,鳥取県,1965年,人,579853
641,人口,総数,鳥取県,1970年,人,568777
642,人口,総数,鳥取県,1975年,人,581311
643,人口,総数,鳥取県,1980年,人,604221
644,人口,総数,鳥取県,1985年,人,616024
645,人口,総数,鳥取県,1990年,人,615722
646,人口,総数,鳥取県,1995年,人,614929
647,人口,総数,鳥取県,2000年,人,613289
648,人口,総数,鳥取県,2005年,人,607012
649,人口,総数,鳥取県,2010年,人,588667
650,人口,総数,鳥取県,2015年,人,573441
651,人口,総数,鳥取県,2020年,人,553407
652,人口,総数,島根県,1920年,人,714712
653,人口,総数,島根県,1925年,人,722402
654,人口,総数,島根県,1930年,人,739507
655,人口,総数,島根県,1935年,人,747119
656,人口,総数,島根県,1940年,人,740940
657,人口,総数,島根県,1945年,人,860275
658,人口,総数,島根県,1950年,人,912551
659,人口,総数,島根県,1955年,人,929066
660,人口,総数,島根県,1960年,人,888886
661,人口,総数,島根県,1965年,人,821620
662,人口,総数,島根県,1970年,人,773575
663,人口,総数,島根県,1975年,人,768886
664,人口,総数,島根県,1980年,人,784795
665,人口,総数,島根県,1985年,人,794629
666,人口,総数,島根県,1990年,人,781021
667,人口,総数,島根県,1995年,人,771441
668,人口,総数,島根県,2000年,人,761503
669,人口,総数,島根県,2005年,人,742223
670,人口,総数,島根県,2010年,人,717397
671,人口,総数,島根県,2015年,人,694352
672,人口,総数,島根県,2020年,人,671126
673,人口,総数,岡山県,1920年,人,1217698
674,人口,総数,岡山県,1925年,人,1238447
675,人口,総数,岡山県,1930年,人,1283962
676,人口,総数,岡山県,1935年,人,1332647
677,人口,総数,岡山県,1940年,人,1329358
678,人口,総数,岡山県,1945年,人,1564626
679,人口,総数,岡山県,1950年,人,1661099
680,人口,総数,岡山県,1955年,人,1689800
681,人口,総数,岡山県,1960年,人,1670454
682,人口,総数,岡山県,1965年,人,1645135
683,人口,総数,岡山県,1970年,人,1707026
684,人口,総数,岡山県,1975年,人,1814305
685,人口,総数,岡山県,1980年,人,1871023
686,人口,総数,岡山県,1985年,人,1916906
687,人口,総数,岡山県,1990年,人,1925877
688,人口,総数,岡山県,1995年,人,1950750
689,人口,総数,岡山県,2000年,人,1950828
690,人口,総数,岡山県,2005年,人,1957264
691,人口,総数,岡山県,2010年,人,1945276
692,人口,総数,岡山県,2015年,人,1921525
693,人口,総数,岡山県,2020年,人,1888432
694,人口,総数,広島県,1920年,人,1541905
695,人口,総数,広島県,1925年,人,1617680
696,人口,総数,広島県,1930年,人,1692136
697,人口,総数,広島県,1935年,人,1804916
698,人口,総数,広島県,1940年,人,1869504
699,人口,総数,広島県,1945年,人,1885471
700,人口,総数,広島県,1950年,人,2081967
701,人口,総数,広島県,1955年,人,2149044
702,人口,総数,広島県,1960年,人,2184043
703,人口,総数,広島県,1965年,人,2281146
704,人口,総数,広島県,1970年,人,2436135
705,人口,総数,広島県,1975年,人,2646324
706,人口,総数,広島県,1980年,人,2739161
707,人口,総数,広島県,1985年,人,2819200
708,人口,総数,広島県,1990年,人,2849847
709,人口,総数,広島県,1995年,人,2881748
710,人口,総数,広島県,2000年,人,2878915
711,人口,総数,広島県,2005年,人,2876642
712,人口,総数,広島県,2010年,人,2860750
713,人口,総数,広島県,2015年,人,2843990
714,人口,総数,広島県,2020年,人,2799702
715,人口,総数,山口県,1920年,人,1041013
716,人口,総数,山口県,1925年,人,1094544
717,人口,総数,山口県,1930年,人,1135637
718,人口,総数,山口県,1935年,人,1190542
719,人口,総数,山口県,1940年,人,1294242
720,人口,総数,山口県,1945年,人,1356491
721,人口,総数,山口県,1950年,人,1540882
722,人口,総数,山口県,1955年,人,1609839
723,人口,総数,山口県,1960年,人,1602207
724,人口,総数,山口県,1965年,人,1543573
725,人口,総数,山口県,1970年,人,1511448
726,人口,総数,山口県,1975年,人,1555218
727,人口,総数,山口県,1980年,人,1587079
728,人口,総数,山口県,1985年,人,1601627
729,人口,総数,山口県,1990年,人,1572616
730,人口,総数,山口県,1995年,人,1555543
731,人口,総数,山口県,2000年,人,1527964
732,人口,総数,山口県,2005年,人,1492606
733,人口,総数,山口県,2010年,人,1451338
734,人口,総数,山口県,2015年,人,1404729
735,人口,総数,山口県,2020年,人,1342059
736,人口,総数,徳島県,1920年,人,670212
737,人口,総数,徳島県,1925年,人,689814
738,人口,総数,徳島県,1930年,人,716544
739,人口,総数,徳島県,1935年,人,728748
740,人口,総数,徳島県,1940年,人,718717
741,人口,総数,徳島県,1945年,人,835763
742,人口,総数,徳島県,1950年,人,878511
743,人口,総数,徳島県,1955年,人,878109
744,人口,総数,徳島県,1960年,人,847274
745,人口,総数,徳島県,1965年,人,815115
746,人口,総数,徳島県,1970年,人,791111
747,人口,総数,徳島県,1975年,人,805166
748,人口,総数,徳島県,1980年,人,825261
749,人口,総数,徳島県,1985年,人,834889
750,人口,総数,徳島県,1990年,人,831598
751,人口,総数,徳島県,1995年,人,832427
752,人口,総数,徳島県,2000年,人,824108
753,人口,総数,徳島県,2005年,人,809950
754,人口,総数,徳島県,2010年,人,785491
755,人口,総数,徳島県,2015年,人,755733
756,人口,総数,徳島県,2020年,人,719559
757,人口,総数,香川県,1920年,人,677852
758,人口,総数,香川県,1925年,人,700308
759,人口,総数,香川県,1930年,人,732816
760,人口,総数,香川県,1935年,人,748656
761,人口,総数,香川県,1940年,人,730394
762,人口,総数,香川県,1945年,人,863700
763,人口,総数,香川県,1950年,人,946022
764,人口,総数,香川県,1955年,人,943823
765,人口,総数,香川県,1960年,人,918867
766,人口,総数,香川県,1965年,人,900845
767,人口,総数,香川県,1970年,人,907897
768,人口,総数,香川県,1975年,人,961292
769,人口,総数,香川県,1980年,人,999864
770,人口,総数,香川県,1985年,人,1022569
771,人口,総数,香川県,1990年,人,1023412
772,人口,総数,香川県,1995年,人,1027006
773,人口,総数,香川県,2000年,人,1022890
774,人口,総数,香川県,2005年,人,1012400
775,人口,総数,香川県,2010年,人,995842
776,人口,総数,香川県,2015年,人,976263
777,人口,総数,香川県,2020年,人,950244
778,人口,総数,愛媛県,1920年,人,1046720
779,人口,総数,愛媛県,1925年,人,1096366
780,人口,総数,愛媛県,1930年,人,1142122
781,人口,総数,愛媛県,1935年,人,1164898
782,人口,総数,愛媛県,1940年,人,1178705
783,人口,総数,愛媛県,1945年,人,1361484
784,人口,総数,愛媛県,1950年,人,1521878
785,人口,総数,愛媛県,1955年,人,1540628
786,人口,総数,愛媛県,1960年,人,1500687
787,人口,総数,愛媛県,1965年,人,1446384
788,人口,総数,愛媛県,1970年,人,1418124
789,人口,総数,愛媛県,1975年,人,1465215
790,人口,総数,愛媛県,1980年,人,1506637
791,人口,総数,愛媛県,1985年,人,1529983
792,人口,総数,愛媛県,1990年,人,1515025
793,人口,総数,愛媛県,1995年,人,1506700
794,人口,総数,愛媛県,2000年,人,1493092
795,人口,総数,愛媛県,2005年,人,1467815
796,人口,総数,愛媛県,2010年,人,1431493
797,人口,総数,愛媛県,2015年,人,1385262
798,人口,総数,愛媛県,2020年,人,1334841
799,人口,総数,高知県,1920年,人,670895
800,人口,総数,高知県,1925年,人,687478
801,人口,総数,高知県,1930年,人,718152
802,人口,総数,高知県,1935年,人,714980
803,人口,総数,高知県,1940年,人,709286
804,人口,総数,高知県,1945年,人,775578
805,人口,総数,高知県,1950年,人,873874
806,人口,総数,高知県,1955年,人,882683
807,人口,総数,高知県,1960年,人,854595
808,人口,総数,高知県,1965年,人,812714
809,人口,総数,高知県,1970年,人,786882
810,人口,総数,高知県,1975年,人,808397
811,人口,総数,高知県,1980年,人,831275
812,人口,総数,高知県,1985年,人,839784
813,人口,総数,高知県,1990年,人,825034
814,人口,総数,高知県,1995年,人,816704
815,人口,総数,高知県,2000年,人,813949
816,人口,総数,高知県,2005年,人,796292
817,人口,総数,高知県,2010年,人,764456
818,人口,総数,高知県,2015年,人,728276
819,人口,総数,高知県,2020年,人,691527
820,人口,総数,福岡県,1920年,人,2188249
821,人口,総数,福岡県,1925年,人,2301668
822,人口,総数,福岡県,1930年,人,2527119
823,人口,総数,福岡県,1935年,人,2755804
824,人口,総数,福岡県,1940年,人,3094132
825,人口,総数,福岡県,1945年,人,2746855
826,人口,総数,福岡県,1950年,人,3530169
827,人口,総数,福岡県,1955年,人,3859764
828,人口,総数,福岡県,1960年,人,4006679
829,人口,総数,福岡県,1965年,人,3964611
830,人口,総数,福岡県,1970年,人,4027416
831,人口,総数,福岡県,1975年,人,4292963
832,人口,総数,福岡県,1980年,人,4553461
833,人口,総数,福岡県,1985年,人,4719259
834,人口,総数,福岡県,1990年,人,4811050
835,人口,総数,福岡県,1995年,人,4933393
836,人口,総数,福岡県,2000年,人,5015699
837,人口,総数,福岡県,2005年,人,5049908
838,人口,総数,福岡県,2010年,人,5071968
839,人口,総数,福岡県,2015年,人,5101556
840,人口,総数,福岡県,2020年,人,5135214
841,人口,総数,佐賀県,1920年,人,673895
842,人口,総数,佐賀県,1925年,人,684831
843,人口,総数,佐賀県,1930年,人,691565
844,人口,総数,佐賀県,1935年,人,686117
845,人口,総数,佐賀県,1940年,人,701517
846,人口,総数,佐賀県,1945年,人,830431
847,人口,総数,佐賀県,1950年,人,945082
848,人口,総数,佐賀県,1955年,人,973749
849,人口,総数,佐賀県,1960年,人,942874
850,人口,総数,佐賀県,1965年,人,871885
851,人口,総数,佐賀県,1970年,人,838468
852,人口,総数,佐賀県,1975年,人,837674
853,人口,総数,佐賀県,1980年,人,865574
854,人口,総数,佐賀県,1985年,人,880013
855,人口,総数,佐賀県,1990年,人,877851
856,人口,総数,佐賀県,1995年,人,884316
857,人口,総数,佐賀県,2000年,人,876654
858,人口,総数,佐賀県,2005年,人,866369
859,人口,総数,佐賀県,2010年,人,849788
860,人口,総数,佐賀県,2015年,人,832832
861,人口,総数,佐賀県,2020年,人,811442
862,人口,総数,長崎県,1920年,人,1136182
863,人口,総数,長崎県,1925年,人,1163945
864,人口,総数,長崎県,1930年,人,1233362
865,人口,総数,長崎県,1935年,人,1296883
866,人口,総数,長崎県,1940年,人,1370063
867,人口,総数,長崎県,1945年,人,1318589
868,人口,総数,長崎県,1950年,人,1645492
869,人口,総数,長崎県,1955年,人,1747596
870,人口,総数,長崎県,1960年,人,1760421
871,人口,総数,長崎県,1965年,人,1641245
872,人口,総数,長崎県,1970年,人,1570245
873,人口,総数,長崎県,1975年,人,1571912
874,人口,総数,長崎県,1980年,人,1590564
875,人口,総数,長崎県,1985年,人,1593968
876,人口,総数,長崎県,1990年,人,1562959
877,人口,総数,長崎県,1995年,人,1544934
878,人口,総数,長崎県,2000年,人,1516523
879,人口,総数,長崎県,2005年,人,1478632
880,人口,総数,長崎県,2010年,人,1426779
881,人口,総数,長崎県,2015年,人,1377187
882,人口,総数,長崎県,2020年,人,1312317
883,人口,総数,熊本県,1920年,人,1233233
884,人口,総数,熊本県,1925年,人,1296086
885,人口,総数,熊本県,1930年,人,1353993
886,人口,総数,熊本県,1935年,人,1387054
887,人口,総数,熊本県,1940年,人,1368179
888,人口,総数,熊本県,1945年,人,1556490
889,人口,総数,熊本県,1950年,人,1827582
890,人口,総数,熊本県,1955年,人,1895663
891,人口,総数,熊本県,1960年,人,1856192
892,人口,総数,熊本県,1965年,人,1770736
893,人口,総数,熊本県,1970年,人,1700229
894,人口,総数,熊本県,1975年,人,1715273
895,人口,総数,熊本県,1980年,人,1790327
896,人口,総数,熊本県,1985年,人,1837747
897,人口,総数,熊本県,1990年,人,1840326
898,人口,総数,熊本県,1995年,人,1859793
899,人口,総数,熊本県,2000年,人,1859344
900,人口,総数,熊本県,2005年,人,1842233
901,人口,総数,熊本県,2010年,人,1817426
902,人口,総数,熊本県,2015年,人,1786170
903,人口,総数,熊本県,2020年,人,1738301
904,人口,総数,大分県,1920年,人,860282
905,人口,総数,大分県,1925年,人,915136
906,人口,総数,大分県,1930年,人,945771
907,人口,総数,大分県,1935年,人,980458
908,人口,総数,大分県,1940年,人,972975
909,人口,総数,大分県,1945年,人,1124513
910,人口,総数,大分県,1950年,人,1252999
911,人口,総数,大分県,1955年,人,1277199
912,人口,総数,大分県,1960年,人,1239655
913,人口,総数,大分県,1965年,人,1187480
914,人口,総数,大分県,1970年,人,1155566
915,人口,総数,大分県,1975年,人,1190314
916,人口,総数,大分県,1980年,人,1228913
917,人口,総数,大分県,1985年,人,1250214
918,人口,総数,大分県,1990年,人,1236942
919,人口,総数,大分県,1995年,人,1231306
920,人口,総数,大分県,2000年,人,1221140
921,人口,総数,大分県,2005年,人,1209571
922,人口,総数,大分県,2010年,人,1196529
923,人口,総数,大分県,2015年,人,1166338
924,人口,総数,大分県,2020年,人,1123852
925,人口,総数,宮崎県,1920年,人,651097
926,人口,総数,宮崎県,1925年,人,691094
927,人口,総数,宮崎県,1930年,人,760467
928,人口,総数,宮崎県,1935年,人,824431
929,人口,総数,宮崎県,1940年,人,840357
930,人口,総数,宮崎県,1945年,人,913687
931,人口,総数,宮崎県,1950年,人,1091427
932,人口,総数,宮崎県,1955年,人,1139384
933,人口,総数,宮崎県,1960年,人,1134590
934,人口,総数,宮崎県,1965年,人,1080692
935,人口,総数,宮崎県,1970年,人,1051105
936,人口,総数,宮崎県,1975年,人,1085055
937,人口,総数,宮崎県,1980年,人,1151587
938,人口,総数,宮崎県,1985年,人,1175543
939,人口,総数,宮崎県,1990年,人,1168907
940,人口,総数,宮崎県,1995年,人,1175819
941,人口,総数,宮崎県,2000年,人,1170007
942,人口,総数,宮崎県,2005年,人,1153042
943,人口,総数,宮崎県,2010年,人,1135233
944,人口,総数,宮崎県,2015年,人,1104069
945,人口,総数,宮崎県,2020年,人,1069576
946,人口,総数,鹿児島県,1920年,人,1415582
947,人口,総数,鹿児島県,1925年,人,1472193
948,人口,総数,鹿児島県,1930年,人,1556690
949,人口,総数,鹿児島県,1935年,人,1591466
950,人口,総数,鹿児島県,1940年,人,1589467
951,人口,総数,鹿児島県,1945年,人,1538466
952,人口,総数,鹿児島県,1950年,人,1804118
953,人口,総数,鹿児島県,1955年,人,2044112
954,人口,総数,鹿児島県,1960年,人,1963104
955,人口,総数,鹿児島県,1965年,人,1853541
956,人口,総数,鹿児島県,1970年,人,1729150
957,人口,総数,鹿児島県,1975年,人,1723902
958,人口,総数,鹿児島県,1980年,人,1784623
959,人口,総数,鹿児島県,1985年,人,1819270
960,人口,総数,鹿児島県,1990年,人,1797824
961,人口,総数,鹿児島県,1995年,人,1794224
962,人口,総数,鹿児島県,2000年,人,1786194
963,人口,総数,鹿児島県,2005年,人,1753179
964,人口,総数,鹿児島県,2010年,人,1706242
965,人口,総数,鹿児島県,2015年,人,1648177
966,人口,総数,鹿児島県,2020年,人,1588256
967,人口,総数,沖縄県,1920年,人,571572
968,人口,総数,沖縄県,1925年,人,557622
969,人口,総数,沖縄県,1930年,人,577509
970,人口,総数,沖縄県,1935年,人,592494
971,人口,総数,沖縄県,1940年,人,574579
972,人口,総数,沖縄県,1945年,人,-
973,人口,総数,沖縄県,1950年,人,914937
974,人口,総数,沖縄県,1955年,人,801065
975,人口,総数,沖縄県,1960年,人,883122
976,人口,総数,沖縄県,1965年,人,934176
977,人口,総数,沖縄県,1970年,人,945111
978,人口,総数,沖縄県,1975年,人,1042572
979,人口,総数,沖縄県,1980年,人,1106559
980,人口,総数,沖縄県,1985年,人,1179097
981,人口,総数,沖縄県,1990年,人,1222398
982,人口,総数,沖縄県,1995年,人,1273440
983,人口,総数,沖縄県,2000年,人,1318220
984,人口,総数,沖縄県,2005年,人,1361594
985,人口,総数,沖縄県,2010年,人,1392818
986,人口,総数,沖縄県,2015年,人,1433566
987,人口,総数,沖縄県,2020年,人,1467480
